Order_ID,Order_Date,Customer_ID,Category,Product,Quantity,Unit_Price,Total_Amount,City,Payment_Mode
ORD10126,2025-09-06,CUST162,Grocery,Tea Pack,4,1499,5996,Lucknow,Card
ORD10494,2025-01-02,CUST318,Home,Bedsheet,1,299,299,Lucknow,UPI
ORD10669,2025-09-05,CUST224,Clothing,Kurta,4,999,3996,Kolkata,UPI
ORD10753,2025-03-03,CUST216,Clothing,Jacket,4,499,1996,Pune,Card
ORD10180,2025-10-28,CUST387,Clothing,Jeans,5,99,495,Jaipur,UPI
ORD10844,2025-02-03,CUST274,Grocery,Cooking Oil,4,499,1996,Delhi,Card
ORD10351,2025-12-17,CUST141,Home,Bedsheet,2,299,598,Pune,Card
ORD10054,2025-12-09,CUST227,Grocery,Tea Pack,4,2499,9996,Mumbai,Cash
ORD10455,2025-08-19,CUST338,Electronics,Mobile Charger,1,199,199,Mumbai,UPI
ORD10710,2025-05-18,CUST311,Clothing,Jacket,5,2499,12495,Delhi,Cash
ORD10154,2025-09-04,CUST251,Clothing,Jeans,3,2499,7497,Pune,UPI
ORD10396,2025-04-10,CUST296,Clothing,T-Shirt,4,199,796,Jaipur,Card
ORD10702,2025-10-04,CUST190,Clothing,Kurta,2,1499,2998,Jaipur,Card
ORD10559,2025-02-28,CUST305,Electronics,Smart Watch,3,199,597,Kanpur,UPI
ORD10801,2025-12-04,CUST343,Home,Bedsheet,2,999,1998,Kanpur,UPI
ORD10243,2025-04-03,CUST379,Home,Mixer Grinder,4,999,3996,Mumbai,UPI
ORD10306,2025-05-08,CUST103,Grocery,Cooking Oil,4,299,1196,Mumbai,UPI
ORD10172,2025-09-03,CUST305,Clothing,Kurta,1,99,99,Kanpur,Card
ORD10680,2025-03-03,CUST365,Clothing,Kurta,2,499,998,Kanpur,UPI
ORD10806,2025-01-19,CUST147,Grocery,Biscuits,5,299,1495,Kolkata,UPI
ORD10197,2025-01-11,CUST266,Home,Water Bottle,1,499,499,Delhi,Card
ORD10295,2025-11-12,CUST400,Clothing,Jacket,2,99,198,Delhi,Cash
ORD10644,2025-11-02,CUST135,Clothing,Jeans,3,499,1497,Delhi,UPI
ORD10778,2025-12-28,CUST368,Grocery,Cooking Oil,3,1499,4497,Delhi,UPI
ORD10786,2025-04-01,CUST324,Grocery,Cooking Oil,2,99,198,Kolkata,Card
ORD10752,2025-10-23,CUST295,Electronics,Smart Watch,1,1499,1499,Lucknow,Cash
ORD10340,2025-04-24,CUST174,Clothing,Kurta,1,999,999,Lucknow,UPI
ORD10245,2025-08-17,CUST121,Home,Bedsheet,4,299,1196,Pune,UPI
ORD10047,2025-09-08,CUST228,Clothing,Jeans,3,999,2997,Kolkata,Cash
ORD10667,2025-09-17,CUST154,Electronics,Smart Watch,2,499,998,Jaipur,Cash
ORD10271,2025-06-17,CUST395,Home,Bedsheet,2,2499,4998,Pune,UPI
ORD10599,2025-09-01,CUST387,Clothing,Jeans,5,999,4995,Kolkata,Card
ORD10503,2025-02-10,CUST322,Grocery,Cooking Oil,1,499,499,Delhi,Card
ORD10706,2025-09-02,CUST253,Home,Mixer Grinder,4,2499,9996,Lucknow,UPI
ORD10473,2025-12-24,CUST283,Grocery,Cooking Oil,5,299,1495,Jaipur,Cash
ORD10819,2025-08-24,CUST374,Grocery,Biscuits,2,1499,2998,Mumbai,UPI
ORD10611,2025-08-13,CUST295,Clothing,T-Shirt,3,2499,7497,Kanpur,Card
ORD10408,2025-02-08,CUST147,Clothing,Kurta,4,499,1996,Kanpur,Card
ORD10421,2025-04-20,CUST177,Electronics,Mobile Charger,4,299,1196,Kanpur,Card
ORD10903,2025-02-06,CUST118,Home,Bedsheet,5,199,995,Pune,Cash
ORD10014,2025-10-26,CUST304,Grocery,Tea Pack,5,499,2495,Mumbai,Cash
ORD10839,2025-03-15,CUST232,Home,Table Lamp,2,199,398,Mumbai,UPI
ORD10881,2025-10-08,CUST105,Grocery,Tea Pack,2,299,598,Kanpur,UPI
ORD10433,2025-11-29,CUST133,Clothing,Kurta,5,1499,7495,Mumbai,Card
ORD10424,2025-11-04,CUST245,Electronics,Mobile Charger,5,999,4995,Kolkata,Card
ORD10757,2025-06-22,CUST142,Clothing,Kurta,2,199,398,Kanpur,Card
ORD10320,2025-07-13,CUST292,Home,Water Bottle,4,499,1996,Lucknow,Card
ORD10882,2025-09-26,CUST153,Electronics,Headphones,4,99,396,Pune,UPI
ORD10852,2025-10-26,CUST104,Clothing,Kurta,3,99,297,Jaipur,Card
ORD10631,2025-12-09,CUST205,Clothing,Jacket,2,99,198,Jaipur,UPI
ORD10141,2025-11-21,CUST151,Electronics,Bluetooth Speaker,1,2499,2499,Kanpur,Cash
ORD10979,2025-10-01,CUST396,Clothing,Jacket,3,99,297,Mumbai,Cash
ORD10169,2025-05-16,CUST126,Grocery,Tea Pack,1,199,199,Delhi,Card
ORD10100,2025-10-25,CUST288,Home,Bedsheet,3,1499,4497,Kanpur,Card
ORD10005,2025-07-03,CUST276,Electronics,Headphones,4,99,396,Jaipur,UPI
ORD10165,2025-01-26,CUST270,Electronics,Mobile Charger,5,99,495,Delhi,Cash
ORD10072,2025-09-16,CUST318,Clothing,Kurta,5,2499,12495,Pune,UPI
ORD10217,2025-11-02,CUST292,Electronics,Smart Watch,5,199,995,Delhi,Cash
ORD10205,2025-07-08,CUST246,Home,Table Lamp,1,99,99,Lucknow,Card
ORD10329,2025-10-30,CUST189,Clothing,Jacket,1,999,999,Pune,Card
ORD10604,2025-11-19,CUST209,Electronics,Headphones,2,1499,2998,Kolkata,Card
ORD10378,2025-10-16,CUST304,Clothing,Jeans,5,99,495,Kolkata,UPI
ORD10415,2025-07-10,CUST184,Electronics,Smart Watch,3,99,297,Lucknow,UPI
ORD10837,2025-12-10,CUST373,Clothing,Jacket,2,1499,2998,Lucknow,UPI
ORD10373,2025-05-24,CUST301,Home,Bedsheet,3,499,1497,Mumbai,Cash
ORD10221,2025-08-03,CUST182,Clothing,Kurta,5,999,4995,Kolkata,Cash
ORD10190,2025-11-07,CUST326,Clothing,Kurta,4,499,1996,Kanpur,UPI
ORD10109,2025-10-16,CUST255,Electronics,Mobile Charger,2,2499,4998,Lucknow,Cash
ORD10991,2025-01-08,CUST370,Electronics,Headphones,5,2499,12495,Delhi,Card
ORD10431,2025-10-02,CUST375,Home,Table Lamp,1,1499,1499,Jaipur,Cash
ORD10871,2025-10-30,CUST177,Electronics,Headphones,5,199,995,Pune,UPI
ORD10376,2025-08-18,CUST345,Grocery,Biscuits,4,99,396,Jaipur,UPI
ORD10495,2025-04-16,CUST187,Home,Bedsheet,1,99,99,Pune,UPI
ORD10059,2025-06-10,CUST323,Electronics,Bluetooth Speaker,3,1499,4497,Jaipur,Card
ORD10129,2025-09-05,CUST341,Clothing,Jacket,4,2499,9996,Delhi,UPI
ORD10993,2025-10-29,CUST194,Grocery,Biscuits,3,1499,4497,Kanpur,Card
ORD10390,2025-10-28,CUST158,Clothing,Kurta,5,499,2495,Mumbai,UPI
ORD10869,2025-02-12,CUST164,Clothing,T-Shirt,3,499,1497,Jaipur,Cash
ORD10025,2025-08-20,CUST161,Home,Water Bottle,4,999,3996,Delhi,Cash
ORD10187,2025-07-12,CUST314,Electronics,Headphones,5,199,995,Kanpur,UPI
ORD10619,2025-11-14,CUST135,Grocery,Cooking Oil,1,299,299,Delhi,UPI
ORD10681,2025-10-25,CUST151,Electronics,Headphones,2,499,998,Mumbai,UPI
ORD10958,2025-02-27,CUST345,Grocery,Biscuits,3,1499,4497,Lucknow,Cash
ORD10050,2025-01-19,CUST289,Electronics,Headphones,2,999,1998,Jaipur,Card
ORD10948,2025-09-24,CUST271,Electronics,Headphones,2,2499,4998,Kanpur,Card
ORD10508,2025-12-02,CUST348,Clothing,Kurta,3,499,1497,Jaipur,Card
ORD10095,2025-08-26,CUST391,Clothing,Kurta,2,2499,4998,Jaipur,Card
ORD10409,2025-06-17,CUST397,Clothing,Jacket,4,499,1996,Lucknow,Card
ORD10799,2025-04-03,CUST160,Clothing,Kurta,3,1499,4497,Delhi,Cash
ORD10792,2025-08-26,CUST331,Clothing,T-Shirt,5,199,995,Lucknow,Card
ORD10709,2025-11-17,CUST222,Grocery,Tea Pack,1,499,499,Jaipur,Card
ORD10807,2025-02-04,CUST318,Clothing,Jacket,4,2499,9996,Kolkata,Card
ORD10026,2025-10-11,CUST217,Electronics,Smart Watch,1,999,999,Jaipur,Cash
ORD10142,2025-01-29,CUST250,Clothing,T-Shirt,1,299,299,Mumbai,UPI
ORD10921,2025-02-26,CUST266,Grocery,Tea Pack,2,2499,4998,Delhi,Cash
ORD10657,2025-09-18,CUST305,Home,Bedsheet,1,199,199,Kolkata,UPI
ORD10061,2025-02-05,CUST269,Electronics,Mobile Charger,3,499,1497,Jaipur,UPI
ORD10173,2025-02-11,CUST264,Electronics,Bluetooth Speaker,4,99,396,Jaipur,Cash
ORD10099,2025-01-09,CUST147,Home,Table Lamp,4,2499,9996,Mumbai,Cash
ORD10273,2025-08-23,CUST223,Electronics,Headphones,4,999,3996,Jaipur,UPI
ORD10076,2025-04-20,CUST132,Grocery,Biscuits,2,1499,2998,Kanpur,UPI
ORD10588,2025-10-05,CUST116,Grocery,Rice 5kg,3,199,597,Mumbai,UPI
ORD10509,2025-07-26,CUST173,Home,Mixer Grinder,2,299,598,Jaipur,Card
ORD10748,2025-12-20,CUST241,Grocery,Tea Pack,1,2499,2499,Jaipur,Card
ORD10523,2025-06-28,CUST335,Clothing,Jacket,4,499,1996,Mumbai,Cash
ORD10800,2025-09-12,CUST355,Electronics,Smart Watch,1,499,499,Jaipur,Cash
ORD10519,2025-05-13,CUST146,Clothing,Jacket,2,2499,4998,Mumbai,Cash
ORD10664,2025-07-22,CUST307,Clothing,Kurta,3,1499,4497,Jaipur,Cash
ORD10135,2025-07-15,CUST297,Electronics,Smart Watch,4,1499,5996,Pune,Card
ORD10700,2025-03-06,CUST167,Grocery,Tea Pack,4,1499,5996,Jaipur,Cash
ORD10286,2025-02-26,CUST197,Grocery,Rice 5kg,5,1499,7495,Lucknow,UPI
ORD10206,2025-10-11,CUST121,Electronics,Bluetooth Speaker,4,999,3996,Kanpur,Card
ORD10004,2025-05-23,CUST179,Electronics,Mobile Charger,4,299,1196,Delhi,UPI
ORD10874,2025-08-14,CUST185,Home,Table Lamp,2,1499,2998,Delhi,Card
ORD10743,2025-08-15,CUST280,Clothing,Jeans,5,999,4995,Mumbai,Card
ORD10018,2025-03-22,CUST332,Clothing,T-Shirt,3,499,1497,Lucknow,Card
ORD10027,2025-02-04,CUST116,Electronics,Headphones,1,199,199,Kolkata,UPI
ORD10750,2025-06-03,CUST147,Clothing,Jeans,2,299,598,Jaipur,UPI
ORD10651,2025-01-03,CUST103,Clothing,Kurta,3,199,597,Jaipur,Card
ORD10171,2025-11-11,CUST122,Electronics,Bluetooth Speaker,5,199,995,Pune,Card
ORD10511,2025-06-22,CUST255,Home,Water Bottle,3,99,297,Mumbai,UPI
ORD10685,2025-05-01,CUST384,Grocery,Rice 5kg,3,2499,7497,Kanpur,UPI
ORD10484,2025-12-29,CUST271,Clothing,Jeans,1,2499,2499,Kanpur,Cash
ORD11000,2025-12-13,CUST143,Home,Table Lamp,5,1499,7495,Lucknow,Cash
ORD10872,2025-12-25,CUST220,Clothing,Jeans,3,2499,7497,Kanpur,Cash
ORD10554,2025-10-21,CUST352,Electronics,Headphones,1,2499,2499,Delhi,Cash
ORD10601,2025-05-12,CUST376,Clothing,Kurta,1,499,499,Pune,UPI
ORD10529,2025-01-19,CUST398,Home,Table Lamp,4,1499,5996,Pune,Card
ORD10714,2025-01-08,CUST352,Electronics,Mobile Charger,1,199,199,Delhi,UPI
ORD10703,2025-11-24,CUST373,Home,Table Lamp,5,1499,7495,Mumbai,UPI
ORD10474,2025-09-10,CUST377,Clothing,Jeans,5,199,995,Mumbai,Cash
ORD10397,2025-12-30,CUST327,Home,Table Lamp,4,499,1996,Kanpur,Cash
ORD10661,2025-01-06,CUST203,Electronics,Mobile Charger,4,499,1996,Kolkata,Card
ORD10793,2025-10-07,CUST169,Electronics,Mobile Charger,5,1499,7495,Kanpur,UPI
ORD10813,2025-08-27,CUST160,Grocery,Rice 5kg,1,99,99,Pune,Cash
ORD10719,2025-12-15,CUST259,Electronics,Mobile Charger,4,499,1996,Mumbai,Cash
ORD10670,2025-01-15,CUST346,Home,Table Lamp,5,2499,12495,Lucknow,UPI
ORD10075,2025-10-04,CUST141,Grocery,Tea Pack,3,299,897,Delhi,Cash
ORD10857,2025-12-10,CUST164,Home,Bedsheet,3,2499,7497,Delhi,Cash
ORD10957,2025-06-19,CUST251,Grocery,Rice 5kg,5,999,4995,Kanpur,UPI
ORD10996,2025-01-21,CUST142,Home,Water Bottle,3,999,2997,Mumbai,UPI
ORD10653,2025-10-27,CUST229,Electronics,Mobile Charger,4,1499,5996,Mumbai,Card
ORD10784,2025-07-18,CUST351,Home,Water Bottle,2,2499,4998,Kanpur,Cash
ORD10770,2025-07-14,CUST360,Electronics,Smart Watch,4,199,796,Pune,Cash
ORD10682,2025-05-02,CUST237,Clothing,Jeans,5,299,1495,Kanpur,Card
ORD10490,2025-11-11,CUST347,Electronics,Headphones,3,999,2997,Pune,Cash
ORD10861,2025-10-23,CUST355,Grocery,Biscuits,5,99,495,Kolkata,Card
ORD10668,2025-09-20,CUST231,Clothing,Jacket,1,2499,2499,Jaipur,Card
ORD10514,2025-07-11,CUST128,Home,Table Lamp,5,2499,12495,Jaipur,Cash
ORD10468,2025-10-06,CUST348,Electronics,Bluetooth Speaker,3,499,1497,Mumbai,Card
ORD10315,2025-08-17,CUST128,Grocery,Biscuits,1,999,999,Kanpur,Cash
ORD10532,2025-02-15,CUST213,Clothing,Jeans,3,1499,4497,Mumbai,Cash
ORD10229,2025-05-28,CUST221,Grocery,Biscuits,1,2499,2499,Mumbai,Cash
ORD10543,2025-01-24,CUST252,Home,Water Bottle,2,99,198,Mumbai,UPI
ORD10419,2025-02-15,CUST152,Home,Mixer Grinder,2,499,998,Lucknow,UPI
ORD10645,2025-04-14,CUST367,Home,Bedsheet,1,99,99,Kolkata,Card
ORD10111,2025-10-29,CUST319,Home,Table Lamp,4,299,1196,Mumbai,Card
ORD10541,2025-09-29,CUST197,Clothing,T-Shirt,3,2499,7497,Lucknow,Card
ORD10955,2025-07-10,CUST329,Electronics,Smart Watch,3,199,597,Kolkata,UPI
ORD10058,2025-04-02,CUST397,Clothing,T-Shirt,1,299,299,Mumbai,Cash
ORD10658,2025-01-03,CUST146,Electronics,Mobile Charger,4,1499,5996,Kolkata,Cash
ORD10450,2025-01-23,CUST218,Electronics,Mobile Charger,3,99,297,Kolkata,Card
ORD10007,2025-12-05,CUST216,Clothing,Jeans,1,99,99,Kolkata,UPI
ORD10956,2025-09-13,CUST174,Clothing,T-Shirt,1,499,499,Kanpur,UPI
ORD10652,2025-04-16,CUST261,Electronics,Headphones,4,1499,5996,Kanpur,UPI
ORD10139,2025-12-12,CUST373,Home,Mixer Grinder,3,2499,7497,Kanpur,UPI
ORD10164,2025-05-22,CUST197,Clothing,Jacket,1,499,499,Lucknow,UPI
ORD10868,2025-03-28,CUST393,Clothing,T-Shirt,4,999,3996,Lucknow,Card
ORD10684,2025-08-19,CUST192,Clothing,Jacket,4,299,1196,Lucknow,Card
ORD10337,2025-12-23,CUST204,Grocery,Rice 5kg,4,199,796,Kanpur,Cash
ORD10863,2025-09-04,CUST140,Home,Water Bottle,1,999,999,Delhi,Card
ORD10044,2025-03-22,CUST324,Electronics,Mobile Charger,3,299,897,Kolkata,Card
ORD10578,2025-12-04,CUST358,Electronics,Headphones,4,499,1996,Delhi,UPI
ORD10504,2025-02-04,CUST144,Grocery,Tea Pack,3,1499,4497,Kanpur,Card
ORD10064,2025-01-01,CUST255,Grocery,Tea Pack,4,999,3996,Mumbai,Cash
ORD10694,2025-06-10,CUST262,Electronics,Mobile Charger,3,199,597,Pune,UPI
ORD10891,2025-01-18,CUST137,Electronics,Bluetooth Speaker,3,99,297,Lucknow,Card
ORD10039,2025-02-04,CUST220,Electronics,Mobile Charger,1,999,999,Kanpur,Cash
ORD10348,2025-01-09,CUST357,Electronics,Smart Watch,5,299,1495,Kolkata,Card
ORD10254,2025-10-05,CUST248,Clothing,Jacket,1,999,999,Mumbai,Cash
ORD10352,2025-07-13,CUST382,Electronics,Headphones,4,499,1996,Kanpur,Cash
ORD10972,2025-04-02,CUST351,Home,Mixer Grinder,3,499,1497,Pune,Card
ORD10453,2025-06-11,CUST301,Grocery,Cooking Oil,3,299,897,Pune,Card
ORD10579,2025-10-27,CUST347,Electronics,Headphones,5,499,2495,Jaipur,Cash
ORD10386,2025-11-24,CUST321,Grocery,Biscuits,2,199,398,Kanpur,Cash
ORD10545,2025-04-25,CUST167,Grocery,Biscuits,1,199,199,Delhi,Card
ORD10835,2025-12-12,CUST125,Electronics,Mobile Charger,1,499,499,Lucknow,UPI
ORD10436,2025-09-22,CUST232,Grocery,Biscuits,3,999,2997,Delhi,UPI
ORD10740,2025-07-17,CUST197,Electronics,Headphones,2,999,1998,Delhi,Card
ORD10797,2025-01-23,CUST187,Grocery,Biscuits,5,499,2495,Mumbai,Card
ORD10138,2025-05-16,CUST273,Grocery,Rice 5kg,4,2499,9996,Jaipur,Card
ORD10260,2025-03-20,CUST255,Home,Mixer Grinder,1,999,999,Delhi,Cash
ORD10298,2025-05-28,CUST264,Home,Table Lamp,2,2499,4998,Mumbai,Card
ORD10317,2025-01-02,CUST211,Electronics,Bluetooth Speaker,3,2499,7497,Jaipur,Cash
ORD10186,2025-12-03,CUST305,Electronics,Mobile Charger,2,999,1998,Lucknow,Cash
ORD10818,2025-09-03,CUST342,Grocery,Tea Pack,3,1499,4497,Kolkata,Cash
ORD10263,2025-11-16,CUST272,Grocery,Cooking Oil,2,1499,2998,Kolkata,Card
ORD10774,2025-02-01,CUST231,Clothing,Jeans,5,299,1495,Kanpur,Cash
ORD10787,2025-08-07,CUST307,Home,Water Bottle,4,199,796,Kolkata,Cash
ORD10888,2025-05-13,CUST235,Home,Table Lamp,3,99,297,Delhi,UPI
ORD10780,2025-01-16,CUST263,Grocery,Tea Pack,2,1499,2998,Kanpur,UPI
ORD10883,2025-04-09,CUST117,Clothing,Jeans,3,299,897,Lucknow,Card
ORD10705,2025-09-25,CUST169,Grocery,Tea Pack,1,99,99,Mumbai,UPI
ORD10062,2025-12-08,CUST309,Electronics,Smart Watch,5,299,1495,Mumbai,UPI
ORD10938,2025-12-12,CUST286,Electronics,Smart Watch,1,999,999,Lucknow,Cash
ORD10598,2025-04-20,CUST269,Home,Mixer Grinder,3,199,597,Mumbai,UPI
ORD10325,2025-12-11,CUST124,Electronics,Headphones,4,999,3996,Delhi,Card
ORD10860,2025-08-19,CUST296,Home,Table Lamp,5,2499,12495,Mumbai,Cash
ORD10843,2025-07-25,CUST311,Electronics,Smart Watch,5,499,2495,Delhi,Card
ORD10526,2025-05-22,CUST266,Electronics,Bluetooth Speaker,1,299,299,Kolkata,UPI
ORD10563,2025-07-30,CUST325,Grocery,Biscuits,4,99,396,Lucknow,Cash
ORD10614,2025-10-21,CUST301,Grocery,Rice 5kg,1,99,99,Jaipur,Card
ORD10446,2025-06-05,CUST224,Clothing,Jeans,3,999,2997,Kanpur,UPI
ORD10602,2025-09-18,CUST328,Electronics,Smart Watch,5,2499,12495,Kanpur,Cash
ORD10149,2025-12-04,CUST302,Clothing,Jacket,1,2499,2499,Mumbai,Cash
ORD10565,2025-12-19,CUST148,Grocery,Tea Pack,5,999,4995,Kanpur,Card
ORD10404,2025-01-31,CUST391,Grocery,Cooking Oil,2,2499,4998,Mumbai,Card
ORD10587,2025-03-24,CUST246,Electronics,Headphones,2,299,598,Pune,UPI
ORD10751,2025-09-05,CUST188,Grocery,Rice 5kg,3,2499,7497,Kanpur,Card
ORD10110,2025-11-13,CUST215,Electronics,Bluetooth Speaker,5,999,4995,Kolkata,Card
ORD10488,2025-01-18,CUST250,Grocery,Cooking Oil,4,99,396,Lucknow,UPI
ORD10654,2025-12-15,CUST303,Home,Water Bottle,5,299,1495,Kolkata,Cash
ORD10590,2025-08-02,CUST260,Clothing,T-Shirt,4,499,1996,Jaipur,Cash
ORD10628,2025-01-06,CUST222,Electronics,Bluetooth Speaker,3,999,2997,Kolkata,Card
ORD10847,2025-08-16,CUST190,Home,Water Bottle,5,99,495,Kanpur,Cash
ORD10803,2025-01-29,CUST278,Grocery,Rice 5kg,2,199,398,Lucknow,Cash
ORD10233,2025-10-06,CUST359,Electronics,Smart Watch,1,999,999,Kolkata,Card
ORD10412,2025-01-25,CUST123,Grocery,Biscuits,3,1499,4497,Lucknow,Card
ORD10285,2025-11-19,CUST294,Electronics,Bluetooth Speaker,2,999,1998,Delhi,Card
ORD10159,2025-07-29,CUST159,Electronics,Bluetooth Speaker,3,1499,4497,Delhi,Cash
ORD10257,2025-07-23,CUST345,Grocery,Rice 5kg,1,299,299,Jaipur,UPI
ORD10586,2025-02-24,CUST112,Clothing,Kurta,1,999,999,Kanpur,Cash
ORD10097,2025-11-02,CUST241,Clothing,Jacket,3,299,897,Jaipur,Cash
ORD10915,2025-11-13,CUST285,Grocery,Rice 5kg,5,99,495,Kolkata,Card
ORD10327,2025-10-22,CUST263,Grocery,Tea Pack,2,2499,4998,Jaipur,Card
ORD10400,2025-07-07,CUST377,Electronics,Smart Watch,5,2499,12495,Kolkata,Cash
ORD10542,2025-06-26,CUST259,Electronics,Mobile Charger,2,1499,2998,Delhi,Cash
ORD10627,2025-10-29,CUST248,Grocery,Tea Pack,4,199,796,Delhi,UPI
ORD10250,2025-05-23,CUST227,Clothing,Kurta,3,1499,4497,Lucknow,Cash
ORD10986,2025-09-05,CUST320,Electronics,Headphones,1,2499,2499,Lucknow,Cash
ORD10016,2025-07-17,CUST295,Grocery,Biscuits,5,99,495,Jaipur,UPI
ORD10160,2025-02-19,CUST220,Electronics,Smart Watch,4,99,396,Jaipur,Cash
ORD10934,2025-10-20,CUST398,Clothing,Jeans,4,2499,9996,Lucknow,UPI
ORD10049,2025-12-28,CUST318,Clothing,Jeans,4,999,3996,Jaipur,Cash
ORD10326,2025-10-04,CUST211,Electronics,Bluetooth Speaker,4,199,796,Kolkata,Cash
ORD10368,2025-08-11,CUST241,Home,Bedsheet,1,199,199,Kanpur,UPI
ORD10427,2025-09-28,CUST106,Grocery,Biscuits,5,99,495,Mumbai,UPI
ORD10345,2025-11-19,CUST218,Electronics,Headphones,4,199,796,Lucknow,Card
ORD10309,2025-12-18,CUST357,Home,Water Bottle,2,499,998,Pune,UPI
ORD10361,2025-07-14,CUST143,Home,Bedsheet,5,1499,7495,Kolkata,Card
ORD10128,2025-11-28,CUST178,Grocery,Rice 5kg,4,99,396,Kanpur,Card
ORD10472,2025-07-18,CUST281,Electronics,Mobile Charger,5,2499,12495,Kolkata,Cash
ORD10463,2025-01-22,CUST336,Grocery,Rice 5kg,3,99,297,Lucknow,Cash
ORD10238,2025-01-23,CUST202,Home,Mixer Grinder,3,199,597,Lucknow,UPI
ORD10168,2025-01-14,CUST167,Clothing,Jeans,1,1499,1499,Lucknow,UPI
ORD10456,2025-06-07,CUST337,Electronics,Smart Watch,2,499,998,Mumbai,Cash
ORD10464,2025-07-15,CUST318,Home,Table Lamp,4,99,396,Delhi,UPI
ORD10081,2025-12-06,CUST113,Electronics,Bluetooth Speaker,5,999,4995,Lucknow,Card
ORD10515,2025-03-11,CUST368,Electronics,Smart Watch,5,499,2495,Jaipur,Cash
ORD10557,2025-03-01,CUST148,Clothing,Jacket,4,1499,5996,Kolkata,Cash
ORD10967,2025-02-03,CUST292,Clothing,Kurta,5,299,1495,Lucknow,Cash
ORD10031,2025-06-23,CUST155,Electronics,Headphones,4,1499,5996,Delhi,Cash
ORD10692,2025-05-27,CUST337,Home,Mixer Grinder,4,999,3996,Pune,Cash
ORD10762,2025-06-29,CUST326,Clothing,T-Shirt,3,199,597,Jaipur,Cash
ORD10552,2025-07-03,CUST309,Grocery,Tea Pack,5,199,995,Mumbai,Cash
ORD10363,2025-02-24,CUST146,Grocery,Biscuits,3,299,897,Lucknow,UPI
ORD10595,2025-11-02,CUST126,Grocery,Rice 5kg,2,299,598,Kolkata,Card
ORD10939,2025-01-21,CUST287,Home,Water Bottle,4,999,3996,Mumbai,Cash
ORD10028,2025-09-06,CUST209,Electronics,Mobile Charger,3,1499,4497,Jaipur,Cash
ORD10307,2025-06-04,CUST398,Grocery,Biscuits,3,299,897,Pune,Card
ORD10123,2025-06-11,CUST229,Home,Mixer Grinder,4,99,396,Mumbai,Cash
ORD10900,2025-09-08,CUST299,Grocery,Rice 5kg,5,199,995,Lucknow,Card
ORD10965,2025-08-01,CUST326,Electronics,Mobile Charger,4,1499,5996,Mumbai,Cash
ORD10510,2025-12-20,CUST221,Home,Mixer Grinder,4,299,1196,Lucknow,Card
